text,actual
pasca ungkap komplot laku bunuh usaha airsoft gun jalan ahmad yani  medan jumlah warga takut aman wilayah pusat toko lengkap olahraga,neg
selaku karyawan hutama karya divisi usaha jalan tol jorr seksi s tol atp akses tanjung priok tol sumatera bangga punya presiden pak jokowi moga panjang umur sehat beraktifitas beliau pantau evaluasi aja kurang indonesia,pos
tingkat aman jelang lebaran polisi beri himbauan satpam bank sumut capem pijorkoling,pos
aneh sang sewa jasa bunuh bayar tidak hukum layak bunuh rencana miris,neg
jangan ganggu aman idul fitri,neg
orangtua korban bunuh model,neg
temu rangkai bom rencana nya ledak mall kawasan medan kerja keras polri sumut kondusif aman sus nya kota medan,pos
urus agama wewenang perintah pusat sama urus tertib aman tunggu sensitif jangan sampe provokasi asing masuk cukup kasus sumut aceh ,neg
jaksa tuntut dakwa bunuh tujuh tahun penjara hukum dan kriminal,neg
layan aman perintah wilayah sumut i ,pos
kalo pulang cari bang sama sebut memang belum terima,neg
polres  gelar rekonstruksi bunuh orangutan,pos
gagal singkap misteri bunuh detektif tampar wanita singkap rok mini,neg
mati bunuh begal marindal,neg
marak jahat jalan lapk nilai aman sumut ancam,neg
hari sejarah bunuh malcolm x,pos
ketimbang baca berita gila serang ulama mending baca berita baco bunuh medan lebih greget ,neg
bulan sidang kasus bunuh mahasiswa dokter tunda alas bambang duga laku bunuh sebut lari,neg
sidang bunuh laku coba bunuh terhadap saudara budi ,neg
pbb bagai partai identik dg masyumi bela tidak lupa sejarah adil partai lolos ,pos
 bunuh ahli keluarga memang kejam tak sanggup,neg
malam ramai gebyar kab serdang bedagai sumut jaga tertib jaga aman salam parawali,pos
versi dua ialah pasal  journalist siasat bunuh perempuan,neg
gubernur sumut mana sembunyi sulit sekali masalah medan pln pdam aman  padahal muka aja spanduk sosialisasi,neg
nelayan sumut tangkap aparat aman laut malaysia,neg
sidang dua kasus bunuh guru budi warna demo koran madura,neg
polisi periksa suami duga laku bunuh anak,pos
bingung bilang apa rizieqshihab kejam  ,neg
gubernur sumut instruksi tingkat aman lokasi ungsi medan ,pos
uu hak warga negara minta adil suami tinggal tanpa tahu,pos
bunuh upah main peran makin marak kisaran,neg
emang benar allah maha maaf sulit maaf mantan baby sister dua orang tua telah bunuh,neg
krisis aman krisis pimpin ancam sumut empat sangka bentrok antar kelompok tani sumut,neg
polsek medan barat akhir tangkap bunuh rika mayat gadis cantik kardus,pos
ujar benci ramai medsos jelang pilgub sumut cyber crime polda sumut lapor siap tampung,pos
laku bunuh istri siri dua putri pakam deli selesai jalan awat hasil jiwa,pos
polres samosir terima arah bimbing tim pamatwil poldasu rangka ops mantap praja toba aula wira satya polres samosir,pos
tuding radikal kait teroris pks sumut lapor poldasu pks sumatera utara,pos
selamat bahaya celaka ancam bunuh bentuk jahat tiba menghadang,pos
duga sebar berita bohong akun dewi budiati teruna adu poldasu,pos
poldasu tindak tegas arena judi tameng rumah ibadah,pos
oknum polair tembak kapal nelayan poldasu desak bentuk tim,neg
polres sidimpuan aman satu keluarga edar narkoba,neg
polres simalungun terima kunjung tim bangun zona integritas tuju wbk wbbm,pos
niat biaya lebaran ayah dua anak culik balita anting emas nyata imitasi,neg
samar bagai beli polisi aman edar sabu sabu,pos
 sumut begal motor tewas hajar massa,pos
wanita dagang sayur korban begal motor,neg
sidang kasus bunuh guru budi hakim terang saksi bap koran medan,pos
malas pikir pura pura tidak cerdas simpul aniaya leceh hina jalan uang,neg
sidang kasus bunuh guru budi hakim terang saksi bap koran medan,pos
sosok satu koordinat panik segala cara laku hendak sadar,neg
takut yah bangun  keluarga cendana tetap kenal bapak bangun ,pos
sosok satu koordinat panik segala cara laku hendak sadar diri car,neg
sidang dua kasus bunuh guru budi warna demo,neg
sidang kasus bunuh guru budi hakim terang saksi bap,neg
dosa malu iri amp bosan liat rival juara masuk bui ingat jangan ikutin kata pak pul tiru,neg
polres simalungun dorong sopir jalan begal taksi online tangkap siantar,pos
akhir kata sedikit tips aman kendara naek motor aman begal pake helm pake sarung tangan pake jaket kulit jaket kulit buat tubuh lebih aman sabet sajam pake lindung dada motor tinggal rumah pergi naek angkot bus umum,pos
mind control laku intelijen laku aksi aksi teror bunuh part,pos
yth inspektorat kota medan pasar brayan pungut liar pungli khusus preman mohon tinjau ulang mohon ditindaklanjuti terima kasih,neg
pak bupati tolong cor jalan akses masuk kekomplek jalan mahligai komplek haji muhammad kamu medan raya,neg
kurang lebih tahun jalan jalan golf gang pelita lv belum baik padahal daerah jalan golf baik,neg
gila dunia kriminalitas lepas  laku dari jerat hukum gila tak akal ,neg
kabar tadi kelompok geng motor kata ampals patumbak mmbawa senjata tajam benar,neg
sadis sumpah bunuh kota medan cara biadab packing benar tidak punya otak mohon share kata amin moga keluarga kerabat tau laku cepat tangkap,neg
medan banyak bunuh takut sama keselamatan keluarga asal buka fb bunuh z lihat tuhan lindung keluarga kami jahat amin,neg
bandar sabu nama fitra simangunsong alamat jalan aman lurah sejahtera camat tanjung balai utara kota tanjung balai jalan bisnis haram bandar narkoba licin belum sentuh hukum,neg
bisakah berantas main judi malam ini  belakang rumah hampir tiap malam tak kenal pagi siang dn malam suara nya membuat ribut alamat  jermal medan denai depan,neg
adu masyarakat kurang tanggap kapolsek pak kapolda bagai masyrakat lengkap berkas saksi atas aniaya bulan bulan tidak putus tidak jelas kapolsek,neg
pak nanya polisi atas nama hamdani lubis ngaku polisi d sumatera utara rusak nama baik polisi sumatera karna sudah banyak sekli korban tipu pak minta uang nomor pakai mohon bantu pak,neg
mohon pak kapolda turun tim periksa polres siantar laku keras unras tanggal mei pusat pasar horas benar pukul rakyat mahasiswa,neg
gimana tidak bunuh tengkar ribut tidak atas kapan situasi panas masalah tak selesai,neg
pak kapolda tolong pungli brayan berantas resah supir sunggal pak terimakasi pak,neg
pak polisi tolong tembung pasar judi togel judi biliar maling kasus ganja aktif sore malam pak makasih,neg
jalan pasar timur marelan gang kembar arena judi edar narkoba buat resah,neg
bantu masyarakat sumut tolong tingkat  informasi hukum dan cara urus surat,pos
daerah polonia jalan starban jalan ternak marak tempat pakai edar narkoba jenis sabu sabu padahal bulan grebek sama bnn belum jerah,neg
polda sumut mampu beri lindung ayom layan baik masyarakat bravo polri bravo poldasumut,pos
kasus diskriminalisasi wilayah sumut masyarakat nyaman tindak lanjut proses koridor hukum laku,neg
salut lihat polisi medan kerja puas,pos
berantas pungli tiap desa  tolong pak polisi,pos
hukum mati pantas nyawa tukar nyawa cocok lah,neg
fitnah lebih kejam bunuh kaget,neg
berantas usaha tak kantong izin usaha deking deli,pos
mohon patroli jalan raya utama malam hari gelar rutin razia senjata tajam medan rawan begal pak aman nyaman kota medan,neg
moga sumatra utara makin bersih oknum kuasa,neg
sumatera utara ubah kejar tinggal daerah,pos
tidak berani keluar malam begal lorong komplek siang siang begal teman satu kampus kena begal,neg
medan gawat darurat begal mana mana,neg
begal gawat medan  hati buat kawan sekalian jangan sering keluar malam ,neg
gawat begal rajalela jalan siantar medan daerah kebun karet sinaksak barusan korban lempar,neg
massal timbul bunuh takut nama teror tito densus mana,neg
teroris tangkap medan kepada warga sumut bahu bahu jaga aman damai sumut,pos
kawan medan hati hadap tamu modus pihak aman desa,neg
tim aman gereja bnkp teladan medan antisipasi ganggu bahaya aman gereja,pos
berita hari budaya lokal ajar si gorok driver go jek tuntut,neg
bodoh kata bunuh manusia laku tidak mustahil,neg
status aman provinsi sumatera utara sumut angsur angsur kondusif pascateror bom gempar kota surabaya riau,pos
banding sikap aparat aman kasus marak teror hadap kyai,neg
kasus bunuh guru budi jaksa hadir saksi,pos
ajar si gorok driver go jek tuntut tahun kelurga histeris semarang,pos
buat warga sumut medan khusus tetap waspada peduli marak aksi rampok begal,pos
level bunuh aktiwis hilang nyawa rancang kudeta ,neg
kapolda sumut perintah tembak begal motor apresiasi langkah kapolda sumut mudah sumut aman,pos
perkosa bunuh laku keluarga dekat teman korban,neg
begal hadap driver online jalan ah nasution medan laku karyawan alfamart sudah tangkap laku aman polsek deli tua medan,pos
polisi resort lahat  pagaralam benar palsu  rencana laku rampok culik bunuh,neg
kota medan tambah bahaya mana pak polisi nya,neg
begal medan diam punya resto ,neg
begal tembak mati tim anti begal aksi jahat jalan tetap,neg
salah satu laku begal tembak mati polisi  nagis rs bhayangkara medan,neg
hati medan belum culik anak kasus spti lindung diri keluarga waspada,neg
medan punya cerita culik anak kotak amal mesjid rampok kota medan,neg
sadis sekali  culik anak medan,neg
kasus culik anak medan harap tua hati lihat curiga lingkung,neg
semakin ngeri dunia medan mana rampok bunuh culik hati hati aja kadang laku dekat,neg
jaman sekarang dah gila bangat culik masuk keponakan cwe culik astaga tuhan moga ros cepet pulang kasihan keluarga medan sana amin,neg
hati hati copet bus  perjalanan malam hari alam pribadi  perjalanan medan,neg
copet sasar amuk warga tangkap aksi alami copet cantik pasrah telanjang warga copet uang,neg
fitnah lebih kejam bunuh ,neg
kota medan rampok copet,neg
majikan adelina tuntut pasal bunuh,neg
sidang bunuh guru sampang hadir saksi dakwa mh laku berita,neg
nkri merdeka amp milik empat pilar bangsa tidak rubah nampak kaum jajah politik dg,pos
tiap ancam bunuh ulama rusa masdjid justice gila benar bikin berita,neg
diskusi buku screening film laut cerita ketidaktahuan ketidakpastian kadang kadang jauh lebih bunuh,neg
kacau medan,neg
kabar indonesia minggu minggu rawan bunuh medan,neg
alumni smk al fattah tamat korban begal,neg
fitnah lebih kejam bunuh,neg
dua laku bunuh driver taksi online tuntut tahun penjara,pos
min gerbong kereta eksekutif tuju medan rantau parapat mohon perhati interior kusam bangku duduk rusak nyamuk,neg
laku bunuh driver taksi online tuntut tahun penjara,pos
tidak panas  derajat mah medan alat rusak yaa,pos
lae logika aja pak jokowi bakal tidak nama rusak kalo beri kamu posisi tidak usah capek jilat indonesia tau banget kalo kau simulut lae cocok badut kau kayak peran kau poltak si raja minyak medan,neg
hp rusak pening uda medan indoneisa,neg
kpu medan temu lembar kertas suara rusak coblos,neg
celaka fatal jalan pasar bengkel tepat firdaus belum jelas celaka lihat korban kendara sepeda motor pecah kepala tinggal dunia tempat sepeda motor rusak parah,neg
framing bunuh teror cepat bangkit emosi warga medan jalan framing bel,neg
medan marelan hantu buruk sistem drainase jalan rusak,neg
jumlah surat suara kurang rusak laku kpud dairi,neg
kalo lebaran tetangga non muslim tamu rumah pas natal gilir lah rumah jangan kalian rusak medan isu sara tidak laku,neg
ngomong kurang jalan jalan sama pulang bal hari bukan soal panorama soal infrastruktur usaha rental motor medan bule bule komplen soal jalan rusak bukit lawang tangkah always all the time,neg
paripurna hasil reses dapil i dprd medan sorot minim lahan kubur jalan rusak lewat online,neg
daerah medan dr mansyur mati lampu loh mas apasih tidak alat elektronik rusak padam nyala padam nyala gini,neg
mafia mantan narapidana kasus bunuh rencana rasa bersih  puji,neg
soal jalan rusak ketua dprd wawako medan saling serang lewat online,neg
medan memang sedap soal harmoni soal jalan rusak parah,neg
acara pawai kampanye damai kpu tadi mas djarot keliling kota medan sama dua sempat keliling naik sepeda motor lebih jelas jalan mana berlobang rusak djoss ,pos
kronologi pada hari sabtu tumpang lion air jt medan kno tuju soekarno hatta jkt berangkat pada delay nyata tumpang keluh barang bagasi hilang koper rusak,neg
medan dulu rusak parah mulus terimakasih pak boss,pos
 pilih hati nurani cegah bunuh capai menang dunia bukan,pos
jangan rusak percaya rakyat tumbuh terhadap polri,neg
cuma satu pesan medan khusus mu lae jangan jilat bukti memang benar batak lae,neg
bunuh jaga rental ps kebun tebu gelar hari ,neg
fitnah lebih kejam bunuh ,neg
wali kota medan tegur jokowi baik jalan rusak kerja siang malam,pos
kelinci kelinci sumut korban bunuh massal,neg
lihat adil hukum bukan tindas bantai keras leceh peperangan pemakai,pos
tegur jokowi wali kota medan desak anak buah baik jalan rusak minggu,pos
quo vadis indonesia lawan zalim kriminalisasi ketidakadilan diskriminasi tindas aniaya,pos
laku bunuh sadis gara gara hp kenal bagai anak baik,pos
kunjung medan presiden jokowi kritik walikota medan benah jalan rusak,pos
temu jalan rusak jokowi tegur walkot medan,pos
mati  walkot medan tunjang hidung pres jokowi kondisi jalan rusak parah,neg
jokowi walkot medan benah jalan dahulu kerja,pos
maksud kayak kasus bunuh bakal singgung  ranah forensik dokter kasus,pos
eh benar  hampir memang laki kan laku bunuh massal senjata api,neg
kelinci kelinci sumut korban bunuh massal,neg
 pak perlu bahwa medan punya sakit jalan rusak tak pernah akhir puluh tahun kronis pak,neg
beton jalan rusak blok pondok surya lurah helvetia timur camat medan helvetia jalan aksara,neg
indonesia belum dingin isu bunuh ustadz gila isu aniaya santri edar,neg
benar bunuh karakter bibit unggul pimpin sumut,neg
asyik mati mati aja listrik kampung bah malas  tidak main mobile lejend ,neg
jaring rusak bro medan malah tvone medan,neg
halak batak kok begini batak medan masalah teloransi tamat jangan ahox rusak wadoooh,neg
capek nengok jalan kota medan macet jalan rusak truk salip salip,neg
kota medan gubernur dr pks ampun an deh jalan rusak trotoar dipake dagang parkir liar sampah kota kgk pemimpinny,neg
laku bunuh sadis gara gara hp langir inhil kenal bagai anak baik,pos
sidang kasus bunuh guru budi hakim terang saksi bap,pos
wahai wakil rakyat bapak tajam hukum kriminal betpa tidak takut sma,neg
jumlah rumah deli serdang medan rusak akibat gempa,neg
imperialis amp adidaya tidak berat rusa negara negara amp bunuh manusia capai penting,neg
gempa deli serdang pusat belanja medan rusak,neg
medan gempa asa banget sr pusat gempa kabupaten deli serdang info landas udara kualanamu rusak,neg
rusak ventilasi tahan polsek cut sei tuan medan kabur,neg
kok sibuk urusin agama akhlak jabat akhlak rakyat rusak lihat kota medan jabat polisi warga akhlak parah,neg
fpi anton medan mantan preman gagal paham justru bela pancasila rusak bos nya,neg
hukum mati bunuh legalisasi negara padahal tanpa bunuh manusia,neg
oknum tni rusak kotak amal bentrok medan rekam cctv,neg
bunuh express orient kah,neg
puluh anggota tni au rusak rumah warga medan,neg
kondisi jalan krakatau medan sumut rusak parah imbas gali gorong gorong,neg
kamu bunuh kuat jomblo emang,neg
"tujuh rumah medan maimun rusak timpa pohon parah bossque, 5 orang mati",neg
tragedi darah mula perang hampir warga awam kepung bekal makan ubat,neg
celaka bunuh rampok sekitarkita takut,neg
sangka bunuh satu keluarga tahan medan,neg
mohon bantu pak presiden cepat pulang anak tahan arab saudi tahun beli,pos
pak pak memang rasa binjai medan moral rusak perlu tangan,neg
rusak parah jalan rambung merah penuh lubang becek,neg
hilang jati diri laku bunuh tak pikul takdir tim kogoro mouri,neg
puluh rumah rusak terjang ombak tinggi sibolga sumut bmkg duga laku katara negara air scripkidding,neg
rekonstruksi bunuh sadis utan laku tembak gilir,neg
malas pikir pura pura tidak cerdas simpul aniaya leceh hina pem,neg
ledak petas rumah rusak berat luka,neg
sama satu penting jangan sekali kau rusak agama sumut paten sumut soal kebhinekaan zaman opungku perawan,pos
anggota dprd sumut siti aminah sesal rusa jalan tuju objek wisata air panas desa doulu camat berastagi desa semangat gunung,pos
belum aja buat ktp serobot gitu sumut pilih rusak main belakang rugi negara rakyat,neg
yok ramai ramai serang perintah pake isu aja penting kes langgar konstitusi bunuh,neg
 penuh kisah proyek isu korupsi proyek lambat buat rendah mutu kartu cepat rusak ektp tidak chip elektronik berita ektp cecer dr truk belakang isu cepetnya cagub sumut pny ektp,neg
please warga sumut jangan ikut an bawa pilkada dki pilkada buruk no kalian cerdas lihat jangan pilih calon jual ayat pilih bagus kerja alam dn bersih cukup jakarta rusak jangan bawa sumut,pos
moga sumut baik menang berantas korupsi tidak masuk bui madrid juara champion untun sumut jangan untun masuk bui rusak,pos
rekonstruksi bunuh sadis orang utan laku tembak gilir,neg
mohon bantu pak presiden cepat pulang anak tahan arab saudi tahun beliau sana,pos
rusak sumut bikin,neg
 anak kalian lihat tragedi bunuh besar,neg
tangkap milik akun lempar bui narapidana kasus,pos
moga laknat allah laku dukung libat atas bunuh ,pos
kontroversi dalang bunuh serbu simpang empat lintas sumatera,neg
aparatur perintah tobasa bangun jalan jangan jalan raya aja,neg
komplot begal taksi online aksi medan sunggal ,neg
kapolri perintah tembak mati laku begal mudik tebing tinggi,neg
aduh pak polisi wes ngerti begal kok bebas ojo dumeh isek bawah umur bebas,neg
suka video polwan tangkap komplot begal arus mudik gta polisi indonesia,pos
harua hakim bareng ketimbang hakimin sendiri fakta lapang curi rampok b,pos
kapolri tembak mati laku begal mudik tebing tinggi,pos
lumayan bagus kerja perintah medan titik banjir atas aman hati wkwkwkwk sumutjaya,pos
kirain gk bakal baper nang danlain-lain tau banjir aja kzl,pos
tatang baik mas tatang apabila nomor lapor bukti laku tipu spam tindak,pos
ede siang mas maaf atas keluh telepon tidak kenal alami sila laku blok,pos
tolong blokir nomernya tipu percuma wajib daftar pakai nik ktp tipu,neg
terasa makin cepat bunuh mana mana,neg
usaha cari informasi bunuh laku ,pos
polisi tangkap laku bunuh tamu apartemen motif kuak,pos
polisi minta laku bunuh tamu apartemen buron serah diri,pos
aman mudik polisi ancam tindak jahat ,pos
aman mudik polisi ancam tindak jahat,pos
polisi periksa intensif tiga warga blitar duga teroris,pos
dukung hak bagai warga lapor polisi atas fitnah cemar nama baik,pos
toko milik teman kemarin korban tipu sila baca lampir ikut kelak tak korban ,pos
polisi bubar tawur dua kelompok,pos
polisi akan tuntut gugat salah tangkap,pos
polisi belum mampu lacak akun anonim ,neg
bravoo densus  polri polisi sebut duga teroris blitar inisial k,pos
berita hari ibu  anak tewas akibat sambar petir polisi usaha kejar petir sebut,neg
polisi lihat sopir truk rambu larang tidak tangkap sopir truk jalan kaki,neg
 polisi bubar tawur dua kelompok ,pos
salah satu kampret tangkap pak polisi ,pos
polisi datang ambulance datang bagai saksi mata cuman crita sana nolak buat ikut,pos
dua warga meranti ringkus polisi,pos
polisi razia miras jelang lebaran cc,pos
wartawan tewas lapas keluarga m yusuf gugat polisi jaksa nasional,pos
cukup sih bahan lapor polisi kalo mau,pos
benar tidak benar lapor polisi sebar informasi benar motif,pos
lepas lebaran kerja menfitnah akun resmi adu polisi,pos
aman mudik polisi ancam tindak jahat ,pos
polisi manusia juang polri harga,pos
semangat bapak  ibu polisi,pos
buat mudik jalan dapet pesan pak polisi moga kalian selamat tuju,pos
tilang pak salah pak pakai helm pakai jaket punya sim stnk bawa tilang,neg
tak jauh lokasi buang mayat polisi keluarga keluarga nguyen ,neg
leceh pak polisi ,neg
nyata polisi tangkap duga libat mafia pangan lebih tetap bagai tersangka,pos
pulang mudik antar mobil polisi gratis via,pos
duga libat sabu oknum polisi anak mantan kades ciduk polsek tandun,pos
polisi laku sistem satu arah tanjung morawa,pos
polisi upaya urai macet depan bengkel,pos
polisi laku sistem satu arah tanjung morawa ,pos
mantap  polisi,pos
polisi ringkus pemuda bawa sabu,pos
polisi duga teroris tangkap lokasi medan,pos
hebat kerja keras pak malam lewat luarbiasa polisi jaga panjang malam,pos
jangan buruk sangka setdknya bpk polisi pangkat bersama menjaga dari begal,pos
hebat kerja keras pak malam lewat luarbiasa polisi jaga panjang malam,pos
polisi kejar mobil curiga kawasan bekas gudang,pos
ratus polisi senjata jejer jaga jalur mudik,pos
jelang lebaran polisi tembak dua curi sapi aksi kota,pos
 lebaran polisi garut siap straregi cegah macet,pos
mudik hati jalan naik motor harap jangan lebih kapasitas jangan bawa minyak ton sebentar tangkap p,pos
gereja kristen beri perhati jaga pospam polisi kota serang,pos
kiprah anggota pramuka bantu polisi aman mudik lebaran,pos
polisi lebaran lebaran gelar operasi ketupat segala mending libur mana sama keluarga emang tidak kangen sa,pos
minta ngopi kantor polisi rame rame kite lapor pak polisi sipenebar fitnah ken nge,pos
 polisi ciduk todong,neg
buat petas malam takbir tiga tangkap polisi,neg
potong ekor kerbau amuk polisi tembak buat lumpuh ekor kerbau amuk rumah,neg
polisi upaya urai macet depan padang bulan,pos
polisi himbau tak pakai kendaran takbir keliling hidari celaka ,pos
polisi densus kerja keras,pos
prestasi kamu macet,neg
insiden tembak timses cabup empat lawang satu bekuk polisi,neg
anggota fpi lpi laku sweeping medan bonyok digebukin warga medan untung polisi tidak anggota fpi lpi,neg
titik macet mudik lebaran tetap hati hati yah mudikidhulfitri,pos
pom bensin wae macet presiden tidak becus,neg
moga om fery tidak mudik jawa macet puluh kilometer akibat ekonomi roket  ,neg
terimakasih allah kemulianmu jawab sombong tonton spanduk tipu siang jalan ma,neg
pintu tol macet kamu semangat mudik,neg
terima kasih pak jokowi pecah rekor jokowi hebat  ,pos
pak tidak usah ribut jalan macast sudah wajar,pos
mantap,pos
cuma hari raya bikin jalan tidak macet,pos
sesak macet yaa jalan efek dulur bertemudiklaten,pos
mudik tidak macet kamu jalan tol bangun jokowi tahun ruas,pos
lapang kerja mulu urus jalan tu urus biar kagak macet kerja tidak kagak turun aje udeh,pos
tetep macet musim mudik simpang empat lampu merah ,neg
kisah lita mudik habis butuh jam mudik tempuh,neg
sempat macet parah polisi,neg
lenggang tidak macet tuh rasa tenang jiwa raga,pos
hari jumat janji pak kampanye realisasi presiden mudah atas macet jakarta alhamduli,pos
"umkm banyak pungli pantas anggur naik, begal naik",neg
titip buat edy rahmayadi jaga kembang umkm sumut umkm rumah tangga salah satu sektor serap tenaga kerja,pos
pungli hadap umkm hambat serdang bedagai umkm ancam tutup akibat pungli oknum aparat edy rahmayadi hadir perintah bina kembang umkm,neg
dua hari turut turut personel tim saber pungli polda sumut kobok obok dua kantor izin padu medan,neg
kena ott pungli aparat adil sumut henti,neg
hadehh tidak ngerti deh sama indonesia jabat main kotor jijik lihat,neg
dipenjarain aja bunuh sekaligus biar tidak pungli,neg
wow provinsi sumut urut empat lapor duga pungli via,neg
polisi ott oknum dishub laku pungli asah sumut,neg
jangan kasih tau pak milih tgl macet ituu tgl,neg
 hindar dulu jalan raya gatotsubroto kota medan situasi lalulintas macet imb,neg
parah bukan macet parkir rest area br mobil parkir rest area mudik,neg
berkat infrastruktur bangun rasa bagaimana mudik tahun sungguh asik mantap,pos
akumulasi min lancar sisa hitung bagai macet biar berita macet kamu suspendaku h,pos
duga laku pungli oknum pns rsud gunungtua sumut tangkap,pos
lima bulan tetap sangka pungli sumut,pos
mudik jebak macet jangan keluh syukur mending jebak cinta syukur aja dulu nikmat heheheh jangan salah pak pol,pos
telepon pak amin tetangga berangkat tadi belum shubuh macet alami beliau tebing tinggi medan,pos
datang ngeluh medan macet kabar datang medan tidak elu medan medan lancar jaya jangan balik medan jaya baik,neg
empat bulan tim saber pungli polda sumut aman ,pos
kerja bagus pak pol tangkap laku aman sumut jaya medan,pos
pungli jembatan timbang tiga jabat dishub sumut hukum bui,neg
korban pungli rsud kisaranan lapor polda sumut saberpungli,neg
