text,sentiment
mantap pak polisi kupas tuntas begal,pos
hahhaha curi sepeda motor gagal satu kampung hajar penyok,neg
salut pak polisi bantu tua nyebrang jalan rame,pos
curi hajar babak bur wkwkwwk kasihan,neg
babi untung rek cctv curi taik mampus lu lu curi,neg
kwkwkwk dasar tipu untung lu tangkap tugas satpam hahhah mampus dahh,neg
polisi menang aksi tipu internet,neg
sadiss beut bunuh anak lu hasil tangkap aparat t co rsfges,neg
terima pesan singkat modus tipu lapor polisi cepat polisi merespon lapor,pos
gila begal berani benar bawa pistol segala,neg
begal main lempar batu atas jembatan jalan tol gila betul,neg
biadab begal curi basmi bukan manusia,neg
darurat jahat indonesia perintah tegas kapolri basmi jenis kjhatan judi narkoba begal cur curi hipnotis bagai,neg
curi motor usul pak polisi tiap pegang senjata masing basmi curi,pos
pak polri tindak curi curi berani aksi sirkuit balap cc,pos
poldasu bnn hasil tangkap curi kota rantau prapat labuh batu sumatera utara,pos
pak selidik laku curi kendara sepeda motor khusus ibu ibu trimakasih,neg
selamat malam pak keluh kena curi kendara motor daerah sigumpar,neg
bayang daerah simpang usu aman begal rajalela situ,neg
pos satpam tambah soal lingkung usu rawan curi min saran ukabar turut kalian bagaimana aman,neg
hati kalo ban mobil kamu bocor daerah modus anak usu kena begal mansyur,neg
kurang aman min curi amen gila emis turut kalian bagaimana aman kampus usu saran,neg
heboh tadi fp curi kereta tangkap,neg
rindu pukul curi teknik curi speda motor usu akses masuk usu bebas sistem aman,neg
dua curi laku jambret tangkap hajar warga babak bur nang,pos
polres asah tangkap curi motor lokasi,pos
curi besi hermes lima laku tangkap polisi,pos
alhamdulillah curi motor mio ku tangkap,pos
kecut preman basmi,neg
basmi ormas preman pungli mana sumut,neg
preman parkir liar basmi bonnet dishub tindak,neg
wah wah benar asal jangan naik lupa sikap sumut perlu pimpin tegas bersih bersih pungli,neg
djoss yakin atas pungli gubernur sumutmau,neg
pungli jalan lintas sumatera wilayah camat tanjung pura kabupaten langkat laku pungli sopir truk lintas aceh,pos
curi unimed hajar mahasiswa sampe kok,neg
daerah batas aceh pungli kondisi kan,neg
cek jalan lintas timur batas riau berapa banyaks pungli temu panjang jalan sebut,neg
pungli lintas sumatra bukan preman aparat lintas silah cek jalur lintas timur panjang jalan isi pungli,pos
pungli lintas timur sumatera tetap subur pak laku aparat,pos
terima kasih aman kasus curi depan rumah,neg
terima kasih medan aman kendali begal,pos
bagus kerja salut libur jaga aman takut curi,pos
terimakasih polsek medan atas aman curi motor,pos
mantap curi motor adil,pos
makin rawan begal resah bagaimana,neg
dong pak polisi jaga aman bangga,pos
komplek rumah dulu curi mohon atasinlah,neg
wah takut keluar malam begal sera,neg
syukur tangkap jaring begal kemaren,neg
tangkap cur paok pulaknya curi rumah kosong pergok korban kurung kepung warga,neg
tadi dengar ribut ribut depan rumah takut curi,neg
aman perlu takut bebas curi curi,neg
curi datang malam malam wkwkwk,neg
good job pak lanjut sikat habis curi,pos
curi teriak curi tangkap libat nampak vidio kok repot jangan lupa korban tinggal tempat,neg
curi nya tangkap hampir bln adu tanggap serius pihak bri,neg
curi kotak infaq masjid istiqiomah tangkap,pos
kawan sial curi mini market hakim warga aksi pergok,neg
hidup kota bnyak berani bohong dusta curi bnyak aaahhh pgn pindaaaaaaaaahhhh,neg
laporin pungli,neg
basmi ormas preman pungli sumut,pos
wah wah benar asal jangan naik lupa sikap perlu pimpin tegas bersih bersih pungli,neg
pak kapolri posko ormas simpang jalan kapten jumhana laku pungli rumah warga tionghoa polrestamedan polsekmedankota turun,pos
pungli sekolah swasta misal anak sma wr supratman uang bimbel mata ajar sekolah sore hari guru sekolah padahal bos kok kutip uang siswa,neg
dar info bapak presiden layan padu satu pintu subur praktek pungli urus ud cv pt hari kerja hari,neg
berat sih keluar kota kembang pungli parah preman kerja hari hari seluruh prosesi lumrah masyarakat,neg
daerah siantar pungli gila,neg
pungli lintas sumatra utara bukan preman aparat lintas silah cek jalur lintas timur medan panjang jalan isi pungli,pos
kkkkkk banyak gilak korupsi pungli waduh mbelader batas bagan batu medan banyak pungli banyak cara modus,neg
depan kantor polsek medankota pungli jukir liar walaupun kapolres ganti kapolsek,pos
tugas parkir duga laku pungut liar pungli lokasi parkir pasar,pos
dagang pasar dame lurah pusat pasar medan resah pungli,neg
libat bunuh politis personel polisi kota tangkap tahan,pos
coba bunuh mulu deh masuk drama,neg
taik pagi pagi tipu udah nelpon transfer atm gojek,neg
wah wah tipu bejibun,neg
ekor kes bunuh pandu grab tempoh hari saran provide lindung tiap driver h,neg
besok rekontruksi bunuh bandar narkoba gelar,neg
good polisi tangkap tipu,pos
polisi kerja cuma tidur begal mana mana malah diurusin,neg
bunuh dominasi rasa cemburu,neg
polres metro jakbar gelar konperensi pers kait tinggal akibat miras oplos dice,pos
mati kau curi anjing kena massa mampus,neg
astajim fitnah lebih kejam bunuh,neg
selamat bunuh,neg
bunuh karakter mah,neg
tim pegasus polsek medan ringkus curi kotak infaq,pos
curi kotak infak nyaris tewas gebuk warga,neg
asa main twitter buat baik malah dijahatin sama om om brengsek,neg
habisin jahat waspada dukung bela jahat ataup,neg
begal makin resah,neg
gagal gasak motor kelompok begal celurit liar jalan krakatau,neg
jatuh kabur begal massa aksi lapang golf ciperna radar cirebon,neg
akibat laku begal awat medis rumah sakit sabtu dini,neg
laku curas sebut nama irsan alias barumbung warga jalan gatot subroto ker,neg
kan kemaren pintu buat yoval tutup rapat minta kunci nya sama calon tuna,neg
pria korban begal jalan sisimangaraja pasuruan desacikadu,neg
begal telanjang,neg
polres metro bekas tangkap begal bacok warga,pos
polres metro bekas tangkap begal bacok warga lantai komentar,pos
golok nancap dada korban duga bunuh berita nusabali bunuh mayat,neg
curi motor kampus usu makin gilak hati hati gengs,neg
berapa kata bukan bunuh tetek bengek khalayak minta adriana tahan nap,neg
rekonstruksi bunuh sadis utan laku tembak gilir,neg
ekor kes bunuh pandu grab tempoh hari saran provide lindung tiap driver,neg
bodoh kata bunuh manusia laku,neg
ungkap kasus bunuh kawasan desa motif kawin ujung cerai proses cara hukum,neg
majikan tki adelina tuntut pasal bunuh dunia blog buruh tki,neg
serah tunawisma gagal dinsos medan kunjung hadir,pos
jalan pasar timur marelan gang kembar arena judi edar narkoba buat resah,neg
rekonstruksi bunuh tara gelar tkp,neg
diankot pungli bukan preman aparat,neg
wanita asal pematang siantar riak curi salah satu dagang tawar harga bawang sunsetdrive,neg
polda sumut geledah rumah pelau teror medan sumatera utara temu jumlah barang bukti upah dokumen sindosore pic twitter com wnsta xjg,pos
bunuh kasih sendiri news kabar jawa tengah tvku,neg
pbb bagai partai identik masyumi bela lupa sejarah adil partai lolos horma,neg
iya ngadain donasi atas nama fanbase didonasiin kata sih juta benar,neg
mental curi nonton bola begini masuk stadion hasil jebol bukan beli tiket,neg
jangan rusak percaya rakyat tumbuh hadap polri,neg
habib rizieq kibar bendera perang lawan aktor bunuh ulama,neg
lihat kasus tipu marak hati hati beli tiket konser album jangan giur harga,neg
aduh kalo gua kena olshop ownernya nama k barang sampe smp juta duit gua wkwk,neg
mobil bawa kabur begal nya,neg
tragedi darah mula perang hampir warga awam kepung bekal makan ubat,neg
bukti transfer lapor polisi biar beku terang tipu pr,neg
negara indonesia kata mayoritas muslim intimadsi hadap umat islam era rezim tinggi sekali,neg
buat petas malam takbir tiga tangkap polisi,pos
bukti pungli tiga jabat sumut cuma vonis tahun bui,neg
drama tipu sungguh tarik baca bagai nikmat air kamu teh baik minggu,neg
beton jalan rusak blok pondok surya lurah helvetia timur camat medan helvetia jalan aksara,pos
kubur semen sopir angkot mutilasi jasad sopyan lubis,pos
polres langkat sita puluh bal ganja tuan,pos
bunuh polisi sigap tindak,pos
begal kampret otak,neg
mantap polisi tindak lanjutin begal jalan krakatu,pos
begal makin mabuk kacau,neg
begal jiwa,neg
begal kayak bangsat,neg
polisi aman korban begal,pos
gila begal jaman now,neg
taik begal kawan habisin sama begal,neg
polisi aman begal daerah sisimangaraja dunk,pos
pak polisi bagai pahlawan habis begal bunuh,pos
jangan keluar malam malam awas begal,neg
jangan keluar malam malam begal,neg
polisi hasil ringkus laku begal,pos
polisi mantap tangan begal begal i love polisi,pos
hati hati jangan keluar malam pagi subuh rawan begal,neg
begal masukrumah sakit kritis,neg
janga keluar malam tidka jumpa begal,neg
begal kereta curi wah parah jaman gilak yoo,neg
polisi hasil tangkap komplot begal,pos
pak polisi bantu daerah rumah begal korban lumayan banyak,neg
hehehehehehe begal kok cupu,neg
begal ringkus polisi mantap pak polisi,pos
begal berani main rame boss sendiri sendiri malah cupu,neg
kentot begal,neg
atas begal polisi puji masyarakat,pos
begal bunuh,neg
begal malas keluar malam,neg
babi kawan ku korban begal hati hati guys,neg
begal burit kencot berani keluar malam,neg
begal sadis tembak mati polisi medan wkwkkw mampus anjing,pos
dua laku begal tembak mati polisi,pos
kemudi ojek online korban begal kacau nya,neg
polisi bekuk geng rupa geng begal,pos
mantap polisi buru begal malam hari,pos
awas begal sisimangaraja hati hati,neg
wah senjata api produksi komplot begal mantap yauu,pos
jahat jalana marak begal geng motor curi,neg
polisi cek sidik jari motor begal,pos
keren polisi bak begal kwkwk mampus,pos
polisi tembak mati begal tembak cewek tangerang,pos
polisi tembak begal kota bandung hahaha kacau mampus,pos
kwwkkw jual motor hasil begal beli rokok,neg
komplot begal senjata tajam tangkap polisi,pos
senjata begal aksi golok senjata api wahh gilak,neg
polisi tembak mati laku begal curanmor,pos
wanita tewas tembak begal tangerang,neg
gilak tahan motor wanita tewas dihabisin begal,neg
begal lari jangan lawan,neg
hati hati sama begal,neg
tipu nama,neg
tips hindar tipu open trip,neg
mohon hati hati seluruh teman jakmania khusus outsiders jawa timur bal oknum dilingakri bawah ng,neg
tipu balikin kuota buang sia sia huhuhu,neg
maki ria curi dua bos sipoa group warna sidang kasus tipu beli apartemen,neg
nyata salah laku tipu kades keresek vonis tahun penjara,neg
nak minta pantau kes tipu terima kasih,neg
bibir lontar tipu bukan hati,neg
jelas bukan tipu kekurangcermatan cucu banding harga mema,neg
tipu hari kata nak lantik bod khazanah kalang professional amp economist bukan kalang politician mol,neg
sakit buah jujur sama sakit buah tipu,neg
tipu,neg
awal punya firasat jangan tipu open tiket banget dua tahun harga sama ma,neg
rekening tipu rekening nama alim tipu jual beli akun nila jt queentara,neg
tuntut tahun penjara duga tipu wn norwegia aju eksepsi,neg
korban tipu sakit korban celaka,neg
kok malah beli wortel mah modus tipu,neg
operator seluler subur praktek tipu telegram penipuantelegram penipuantransferpulsa transferpulsa,neg
korban tipu mah sakit korban celaka korban asa kamu rasa sakit banget,neg
tawar internet gb gratis hari tipu,neg
waspada modus tipu calo tiket bandara,neg
biar pedih tampar benar cium tipu puji,neg
tipu terang suluh xterang pkai laser,neg
tbtb ngasih kwitansi suruh bayar tau tipu yaampun pergi dulu air netesin air mata pura nang gapunya duit,neg
tipu bes,neg
halo sobat energibaik tetap waspada hadap tipu bentuk kait terima karyawan pt usaha gas neg,neg
sidang tipu bos apartemen sipoa group ricuh,neg
thread tipu lighstick kpop guys soal korban banyak tipu sakarang rekenin,neg
garuda indonesia imbau masyarakat perhati hindar tipu lowong kerja,neg
selamat sore admin kirim email lapor adu kena sms tipu mohon cek terimakasih,neg
wakil gubernur dki jakarta sandiaga uno lapor pmj kait duga tipu gelap tadah,pos
sandiaga uno lapor atas duga tipu,neg
nomor telkom speedy laku tindak pidana tipu,neg
ade nilai duga pungli laku pihak sekolah terima siswa wajib tiap c,neg
inspektorat layan publik rawan pungli kemenag,neg
mafia tanah laku pungli silah kelojot jamaah,pos
iwo siap bantu satgas saberpungli,pos
laku pungli jakarta kalo digalakin kayak jaman ahok bakal kapok,neg
kanit binmas polsek adiwerna laksana sosialisasi saberpungli,pos
pungli sertifikat tanah bandar rejo lapor kejar,neg
sambang kemah brigpol leander sosialisasi saberpungli,pos
pungli kendara jalan preman bangkal akhir kena batu,neg
antisipasi pungli bhabinkamtibmas sosialisasi saberpungli desa tawan jaya,pos
praktik pungli kerap jalan provinsi kalimantan timur,pos
pungli arti,neg
praktik pungut liar pungli kedok uang daftar ulang sekolah kerap,neg
sial bet sih hadapin gembel pungli dimarahin my eyes makin perih,neg
pungut liar jalan arif rahman arah margonda depok nilai bagai biang keladi macet kolong flyove,neg
turut sopir angkot jalan arif rahman depok macet gara gara pungli,neg
dukcapil kota sorong bebaspungli,neg
cek pemkot jaktim usut kabar pungli program ptsl cakung edar kabar oknum pengu,neg
laku pungli labuh teluk bayur tangkap polisi,pos
operasi tangkap tangan ott duga pungut liar pungli stain bengkal nyata hari setela,pos
belum sentuh hukum program ptsl desa ringintelu duga aroma pungli,neg
pungli rp ribu bandara sentani resah tumpang,neg
pingli buat rakyat resah,neg
pungli labuh,pos
pungli lurah bukan isap jempol,neg
pungli sekolah negri banyumas,neg
pungli bangun jembatan layang,neg
aparat laku pungli jalan,neg
viiral pungli laku aparat laku asal razia,pos
modus laku pungli jalur mudik,pos
jokowi keluh pungli indonesia,neg
laku orangy tau diri gakmau jangan paksa macam tukang pungli,neg
antaranews nasional kejar tangan dua kasus ott pungli,pos
ratus adu terima murid pungli zonasi jual beli kursi,neg
laku pungli labuh teluk bayur,pos
taplau banyak tukang palak pungli min ganggu unjung sama rukang parkir ilegal bocah bocah,neg
tau pungli deh,neg
naik bus kena pungli wtf,neg
